name_length,name_type,dob_valid,gender,masked_aadhaar,aadhaar_number_length,aadhaar_number_type,address_length,address_type,aadhaar_valid
15,full_name,True,Female,True,14,masked,41.0,detailed,True
13,full_name,True,Male,True,14,masked,45.0,detailed,True
13,full_name,True,Female,True,14,masked,37.0,detailed,True
18,full_name,True,Female,True,14,masked,55.0,detailed,True
11,full_name,True,Female,True,14,masked,43.0,detailed,True
14,full_name,True,Other,True,14,masked,43.0,detailed,True
15,full_name,True,Male,True,14,masked,40.0,detailed,True
11,full_name,True,Other,True,14,masked,52.0,detailed,True
13,full_name,True,Male,True,14,masked,40.0,detailed,True
11,full_name,True,Female,True,14,masked,53.0,detailed,True
13,full_name,True,Other,True,14,masked,51.0,detailed,True
12,full_name,True,Female,True,14,masked,48.0,detailed,True
19,full_name,True,Male,True,14,masked,38.0,detailed,True
20,full_name,True,Female,True,14,masked,32.0,detailed,True
11,full_name,True,Other,True,14,masked,40.0,detailed,True
12,full_name,True,Male,True,14,masked,40.0,detailed,True
18,full_name,True,Female,True,14,masked,32.0,detailed,True
16,full_name,True,Other,True,14,masked,55.0,detailed,True
10,full_name,True,Other,True,14,masked,53.0,detailed,True
11,full_name,True,Male,True,14,masked,39.0,detailed,True
14,full_name,True,Male,True,14,masked,48.0,detailed,True
10,full_name,True,Male,True,14,masked,56.0,detailed,True
14,full_name,True,Female,True,14,masked,50.0,detailed,True
16,full_name,True,Female,True,14,masked,53.0,detailed,True
10,full_name,True,Female,True,14,masked,37.0,detailed,True
13,full_name,True,Female,True,14,masked,42.0,detailed,True
12,full_name,True,Female,True,14,masked,53.0,detailed,True
12,full_name,True,Other,True,14,masked,52.0,detailed,True
15,full_name,True,Male,True,14,masked,51.0,detailed,True
15,full_name,True,Female,True,14,masked,43.0,detailed,True
11,full_name,True,Female,True,14,masked,52.0,detailed,True
14,full_name,True,Female,True,14,masked,41.0,detailed,True
14,full_name,True,Female,True,14,masked,25.0,detailed,True
13,full_name,True,Male,True,14,masked,42.0,detailed,True
11,full_name,True,Male,True,14,masked,25.0,detailed,True
15,full_name,True,Other,True,14,masked,48.0,detailed,True
13,full_name,True,Male,True,14,masked,46.0,detailed,True
12,full_name,True,Other,True,14,masked,42.0,detailed,True
13,full_name,True,Female,True,14,masked,49.0,detailed,True
16,full_name,True,Female,True,14,masked,42.0,detailed,True
13,full_name,True,Male,True,14,masked,32.0,detailed,True
12,full_name,True,Male,True,14,masked,42.0,detailed,True
13,full_name,True,Other,True,14,masked,50.0,detailed,True
11,full_name,True,Other,True,14,masked,42.0,detailed,True
14,full_name,True,Male,True,14,masked,36.0,detailed,True
13,full_name,True,Female,True,14,masked,43.0,detailed,True
13,full_name,True,Male,True,14,masked,50.0,detailed,True
18,full_name,True,Other,True,14,masked,24.0,detailed,True
13,full_name,True,Male,True,14,masked,50.0,detailed,True
15,full_name,True,Female,True,14,masked,23.0,detailed,True
15,full_name,True,Male,True,14,masked,51.0,detailed,True
12,full_name,True,Male,True,14,masked,39.0,detailed,True
12,full_name,True,Male,True,14,masked,36.0,detailed,True
17,full_name,True,Female,True,14,masked,53.0,detailed,True
9,full_name,True,Female,True,14,masked,50.0,detailed,True
12,full_name,True,Male,True,14,masked,47.0,detailed,True
12,full_name,True,Male,True,14,masked,32.0,detailed,True
15,full_name,True,Male,True,14,masked,48.0,detailed,True
10,full_name,True,Female,True,14,masked,37.0,detailed,True
10,full_name,True,Other,True,14,masked,49.0,detailed,True
14,full_name,True,Other,True,14,masked,46.0,detailed,True
15,full_name,True,Female,True,14,masked,41.0,detailed,True
17,full_name,True,Female,True,14,masked,51.0,detailed,True
15,full_name,True,Male,True,14,masked,46.0,detailed,True
13,full_name,True,Male,True,14,masked,54.0,detailed,True
14,full_name,True,Male,True,14,masked,51.0,detailed,True
14,full_name,True,Other,True,14,masked,27.0,detailed,True
11,full_name,True,Female,True,14,masked,52.0,detailed,True
11,full_name,True,Male,True,14,masked,59.0,detailed,True
13,full_name,True,Other,True,14,masked,32.0,detailed,True
16,full_name,True,Female,True,14,masked,48.0,detailed,True
12,full_name,True,Female,True,14,masked,42.0,detailed,True
10,full_name,True,Other,True,14,masked,43.0,detailed,True
11,full_name,True,Other,True,14,masked,59.0,detailed,True
12,full_name,True,Other,True,14,masked,41.0,detailed,True
11,full_name,True,Other,True,14,masked,44.0,detailed,True
14,full_name,True,Male,True,14,masked,52.0,detailed,True
16,full_name,True,Male,True,14,masked,38.0,detailed,True
13,full_name,True,Female,True,14,masked,42.0,detailed,True
13,full_name,True,Female,True,14,masked,40.0,detailed,True
12,full_name,True,Male,True,14,masked,42.0,detailed,True
13,full_name,True,Male,True,14,masked,43.0,detailed,True
11,full_name,True,Male,True,14,masked,32.0,detailed,True
13,full_name,True,Male,True,14,masked,54.0,detailed,True
15,full_name,True,Female,True,14,masked,43.0,detailed,True
10,full_name,True,Female,True,14,masked,40.0,detailed,True
12,full_name,True,Female,True,14,masked,38.0,detailed,True
10,full_name,True,Male,True,14,masked,51.0,detailed,True
17,full_name,True,Female,True,14,masked,41.0,detailed,True
11,full_name,True,Other,True,14,masked,50.0,detailed,True
13,full_name,True,Male,True,14,masked,38.0,detailed,True
11,full_name,True,Male,True,14,masked,54.0,detailed,True
11,full_name,True,Male,True,14,masked,49.0,detailed,True
17,full_name,True,Female,True,14,masked,24.0,detailed,True
11,full_name,True,Male,True,14,masked,49.0,detailed,True
13,full_name,True,Female,True,14,masked,42.0,detailed,True
11,full_name,True,Male,True,14,masked,44.0,detailed,True
14,full_name,True,Other,True,14,masked,45.0,detailed,True
16,full_name,True,Female,True,14,masked,51.0,detailed,True
10,full_name,True,Other,True,14,masked,26.0,detailed,True
17,full_name,True,Female,True,14,masked,51.0,detailed,True
14,full_name,True,Other,True,14,masked,39.0,detailed,True
10,full_name,True,Male,True,14,masked,37.0,detailed,True
17,full_name,True,Other,True,14,masked,41.0,detailed,True
14,full_name,True,Male,True,14,masked,36.0,detailed,True
13,full_name,True,Other,True,14,masked,51.0,detailed,True
16,full_name,True,Other,True,14,masked,40.0,detailed,True
15,full_name,True,Other,True,14,masked,39.0,detailed,True
17,full_name,True,Other,True,14,masked,38.0,detailed,True
14,full_name,True,Female,True,14,masked,32.0,detailed,True
11,full_name,True,Female,True,14,masked,48.0,detailed,True
10,full_name,True,Male,True,14,masked,52.0,detailed,True
11,full_name,True,Other,True,14,masked,43.0,detailed,True
16,full_name,True,Other,True,14,masked,45.0,detailed,True
22,full_name,True,Female,True,14,masked,39.0,detailed,True
12,full_name,True,Other,True,14,masked,41.0,detailed,True
13,full_name,True,Female,True,14,masked,47.0,detailed,True
12,full_name,True,Other,True,14,masked,45.0,detailed,True
15,full_name,True,Male,True,14,masked,42.0,detailed,True
16,full_name,True,Female,True,14,masked,50.0,detailed,True
12,full_name,True,Male,True,14,masked,48.0,detailed,True
15,full_name,True,Male,True,14,masked,43.0,detailed,True
13,full_name,True,Male,True,14,masked,47.0,detailed,True
15,full_name,True,Male,True,14,masked,52.0,detailed,True
17,full_name,True,Male,True,14,masked,24.0,detailed,True
16,full_name,True,Other,True,14,masked,38.0,detailed,True
16,full_name,True,Other,True,14,masked,49.0,detailed,True
13,full_name,True,Female,True,14,masked,42.0,detailed,True
15,full_name,True,Female,True,14,masked,38.0,detailed,True
11,full_name,True,Male,True,14,masked,38.0,detailed,True
13,full_name,True,Other,True,14,masked,56.0,detailed,True
18,full_name,True,Female,True,14,masked,51.0,detailed,True
16,full_name,True,Male,True,14,masked,48.0,detailed,True
11,full_name,True,Other,True,14,masked,47.0,detailed,True
12,full_name,True,Other,True,14,masked,40.0,detailed,True
11,full_name,True,Female,True,14,masked,38.0,detailed,True
12,full_name,True,Other,True,14,masked,45.0,detailed,True
15,full_name,True,Male,True,14,masked,43.0,detailed,True
12,full_name,True,Male,True,14,masked,56.0,detailed,True
9,full_name,True,Female,True,14,masked,42.0,detailed,True
15,full_name,True,Male,True,14,masked,49.0,detailed,True
15,full_name,True,Female,True,14,masked,43.0,detailed,True
